sample_size, feature_set  , model           ,fold_number, accuracy, positive_accuracy, negative_accuracy, gene_accuracy
50000      , huffman_mixed, neural          , 1, 0.65608, 0.7132400257400258, 0.5995385105028644
50000      , huffman_mixed, random_forest   , 1, 0.66672, 0.7058397683397684, 0.6280235518777848
50000      , huffman_mixed, average_ensemble, 1, 0.6658 , 0.7240990990990991, 0.6081317632081477
50000      , huffman_mixed, nn_0_fallback   , 1, 0.66436, 0.7989060489060489, 0.5312698917886697
50000      , huffman_mixed, nn_1_fallback   , 1, 0.65844, 0.6201737451737451, 0.6962921705919797
50000      , huffman_mixed, neural          , 2, 0.65252, 0.7242012779552716, 0.5806089743589744
50000      , huffman_mixed, random_forest   , 2, 0.664  , 0.6888977635782748, 0.6390224358974359
50000      , huffman_mixed, average_ensemble, 2, 0.66788, 0.7252396166134185, 0.6103365384615385
50000      , huffman_mixed, nn_0_fallback   , 2, 0.65776, 0.7935303514376997, 0.5215544871794872
50000      , huffman_mixed, nn_1_fallback   , 2, 0.65876, 0.6195686900958467, 0.698076923076923
50000      , huffman_mixed, neural          , 3, 0.65416, 0.7274628065942903, 0.5816155988857938
50000      , huffman_mixed, random_forest   , 3, 0.66368, 0.7026940088459992, 0.6250696378830084
50000      , huffman_mixed, average_ensemble, 3, 0.66748, 0.7141133896260555, 0.6213290887385595
50000      , huffman_mixed, nn_0_fallback   , 3, 0.65608, 0.797426618415762 , 0.5161957819339434
50000      , huffman_mixed, nn_1_fallback   , 3, 0.66176, 0.6327301970245276, 0.6904894548348587
50000      , huffman_mixed, neural          , 4, 0.64692, 0.6186474272575914, 0.675708403971906
50000      , huffman_mixed, random_forest   , 4, 0.66696, 0.7021327202093078, 0.6311455558246549
50000      , huffman_mixed, average_ensemble, 4, 0.66472, 0.662887497026877 , 0.6665859368692985
50000      , huffman_mixed, nn_0_fallback   , 4, 0.66408, 0.7578688654562753, 0.5685799628642932
50000      , huffman_mixed, nn_1_fallback   , 4, 0.6498 , 0.562911282010624 , 0.7382739969322677

204110     , huffman_negative, neural          , 1, 0.648519411292061, 0.6239637103081496, 0.6731879787860932
204110     , huffman_negative, random_forest   , 1, 0.662316028769083, 0.7093696230251838, 0.615046159890002
204110     , huffman_negative, average_ensemble, 1, 0.666431497050581, 0.6593539809166276, 0.6735415439010017
204110     , huffman_negative, nn_0_fallback   , 1, 0.6610421933486194, 0.7684185828249648, 0.553172264780986
204110     , huffman_negative, nn_1_fallback   , 1, 0.6497932467125247, 0.5649147505083685, 0.735061873895109
204110     , huffman_negative, neural          , 2, 0.6569855174711428, 0.6671367019193106, 0.646821194650351
204110     , huffman_negative, random_forest   , 2, 0.6592000313559488, 0.7025068546807677, 0.615837157312625
204110     , huffman_negative, average_ensemble, 2, 0.667744527407059, 0.6918527222875049, 0.643605130015296
204110     , huffman_negative, nn_0_fallback   , 2, 0.6631783173613969, 0.7757931844888367, 0.5504176961995529
204110     , huffman_negative, nn_1_fallback   , 2, 0.6530072314656946, 0.5938503721112417, 0.7122406557634231
204110     , huffman_negative, neural          , 3, 0.6563779959629216, 0.7463038691412394, 0.567024809533112
204110     , huffman_negative, random_forest   , 3, 0.660552256648441, 0.7078877005347594, 0.6135182652861887
204110     , huffman_negative, average_ensemble, 3, 0.666137535030474, 0.7448883296634161, 0.587888259425669
204110     , huffman_negative, nn_0_fallback   , 3, 0.6569463225351284, 0.8109468386284995, 0.5039265481539363
204110     , huffman_negative, nn_1_fallback   , 3, 0.6599839300762341, 0.6432447310474992, 0.6766165266653643
204110     , huffman_negative, neural          , 4, 0.6512767249995101, 0.807412620220502, 0.4943617146674001
204110     , huffman_negative, random_forest   , 4, 0.6602912069607478, 0.7050981312065056, 0.6152606970256571
204110     , huffman_negative, average_ensemble, 4, 0.6657978796370692, 0.7876299945265463, 0.5433578248398884
204110     , huffman_negative, nn_0_fallback   , 4, 0.6504144702032177, 0.8453749315818281, 0.45448115987583987
204110     , huffman_negative, nn_1_fallback   , 4, 0.6611534617570402, 0.6671358198451794, 0.6551412518172174

40000, huffman_negative,    neural           , 1, 0.6548, 0.648524720893142  ,0.661115569823435 
40000, huffman_negative,    random_forest    , 1, 0.7075, 0.6832137161084529 ,0.7319422150882825
40000, huffman_negative,    tree             , 1, 0.6002, 0.5978867623604466 ,0.6025280898876404
40000, huffman_negative,    average_ensemble , 1, 0.3328, 0.6634768740031898 ,0.0               
40000, huffman_negative,    nn_0_fallback    , 1, 0.6845, 0.7452153110047847 ,0.6233948635634029
40000, huffman_negative,    nn_1_fallback    , 1, 0.6713, 0.5155502392344498 ,0.8280497592295345
40000, huffman_negative,    neural           , 2, 0.6554, 0.6960686489722611 ,0.6145520144317499
40000, huffman_negative,    random_forest    , 2, 0.6924, 0.6625424067052484 ,0.7223892563640008
40000, huffman_negative,    tree             , 2, 0.5987, 0.5940929954100977 ,0.6033273201042293
40000, huffman_negative,    average_ensemble , 2, 0.3529, 0.7042506485731391 ,0.0               
40000, huffman_negative,    nn_0_fallback    , 2, 0.6789, 0.7693075234484135 ,0.5880938063740229
40000, huffman_negative,    nn_1_fallback    , 2, 0.6697, 0.5276391937736978 ,0.8123872519542995
40000, huffman_negative,    neural           , 3, 0.6502, 0.6639425951764002 ,0.6363636363636364
40000, huffman_negative,    random_forest    , 3, 0.6927, 0.6611520829180786 ,0.7244631747943007
40000, huffman_negative,    tree             , 3, 0.5877, 0.5868048634642217 ,0.5886012442303833
40000, huffman_negative,    average_ensemble , 3, 0.3377, 0.6731114211680287 ,0.0               
40000, huffman_negative,    nn_0_fallback    , 3, 0.6748, 0.7492525413593781 ,0.5998394541440899
40000, huffman_negative,    nn_1_fallback    , 3, 0.6667, 0.5108630655770381 ,0.8236002408187839
40000, huffman_negative,    neural           , 4, 0.648, 0.6045197740112994  ,0.6907216494845361
40000, huffman_negative,    random_forest    , 4, 0.6942, 0.6682808716707022 ,0.7196669310071372
40000, huffman_negative,    tree             , 4, 0.5971, 0.6023002421307506 ,0.5919904837430611
40000, huffman_negative,    average_ensemble , 4, 0.3063, 0.6180387409200968 ,0.0               
40000, huffman_negative,    nn_0_fallback    , 4, 0.6828, 0.7223567393058918 ,0.6439333862014275
40000, huffman_negative,    nn_1_fallback    , 4, 0.6568, 0.47336561743341404,0.8370340999206979


93299,filtered_normal_positional, neural          , 1, 0.6553764362888013,  0.6747313967369678, 0.632772562505809,  0.49250807952208403
93299,filtered_normal_positional, random_forest   , 1, 0.698808094666438,   0.7742936729009152, 0.6106515475415931, 0.47894427578102045
93299,filtered_normal_positional, average_ensemble, 1, 0.36678957297204595, 0.6808595304417031, 0.0,                0.4924101459210655
93299,filtered_normal_positional, nn_0_fallback   , 1, 0.6822586177328074,  0.7797055312375647, 0.5684543173157357, 0.46699637645676234
93299,filtered_normal_positional, nn_1_fallback   , 1, 0.6713256731263935,  0.5758853959411062, 0.7827865043219631, 0.577073744001567
93299,filtered_normal_positional, neural          , 2, 0.6549905676556337,  0.6716753716351949, 0.6359040352973618, 0.4930467143276858
93299,filtered_normal_positional, random_forest   , 2, 0.6936203052649631,  0.7787063077541181, 0.5962864233845022, 0.47625110175301144
93299,filtered_normal_positional, average_ensemble, 2, 0.3611301663522552,  0.6768179991964645, 0.0,                0.49236117912055627
93299,filtered_normal_positional, nn_0_fallback   , 2, 0.681658377636769,   0.781197267979108,  0.5677911572754849, 0.4680736460679659
93299,filtered_normal_positional, nn_1_fallback   , 2, 0.6708540559080776,  0.579268782643632,  0.7756227594448019, 0.5713446283419842
93299,filtered_normal_positional, neural          , 3, 0.6527182301492025,  0.6919268545875589, 0.6072585871678549, 0.48349818822838114
93299,filtered_normal_positional, random_forest   , 3, 0.6932773109243697,  0.777130080651601,  0.5960559207480789, 0.47820977377338164
93299,filtered_normal_positional, average_ensemble, 3, 0.3746784428056937,  0.6978359817934999, 0.0,                0.4836450886299089
93299,filtered_normal_positional, nn_0_fallback   , 3, 0.6776281941347968,  0.7929409885810109, 0.5439311174891214, 0.4655273724414847
93299,filtered_normal_positional, nn_1_fallback   , 3, 0.67046818727491,    0.5873193324283319, 0.7668734376446625, 0.5688962883165214
93299,filtered_normal_positional, neural          , 4, 0.6520769923264886,  0.6832437635357343, 0.6162983425414365, 0.4832533542258349
93299,filtered_normal_positional, random_forest   , 4, 0.6928023320615596,  0.7757279217133232, 0.5976058931860037, 0.47571246694740965
93299,filtered_normal_positional, average_ensemble, 4, 0.36841428387705233, 0.6893398572230689, 0.0,                0.4831064538243071
93299,filtered_normal_positional, nn_0_fallback   , 4, 0.6773267029622326,  0.7893639207507821, 0.5487108655616942, 0.46165899520125353
93299,filtered_normal_positional, nn_1_fallback   , 4, 0.6702104857032624,  0.582016523622363,  0.7714548802946593, 0.5659582802859661
93299,filtered_normal_positional, neural          , 1, 0.6602641056422569 , 0.6890614990390775, 0.6270764119601329, 0.4954460875526393
93299,filtered_normal_positional, random_forest   , 1, 0.697821985937232  , 0.7699391415759129, 0.6147102251753415, 0.4977475271765743
93299,filtered_normal_positional, average_ensemble, 1, 0.3715914937403533 , 0.694026265214606 , 0.0               , 0.4956419547546763
93299,filtered_normal_positional, nn_0_fallback   , 1, 0.6869319156233922 , 0.7865951313260731, 0.5720745662606128, 0.47497796493977085
93299,filtered_normal_positional, nn_1_fallback   , 1, 0.674969987995198  , 0.5850416399743754, 0.778608342561831 , 0.5980805014200372
93299,filtered_normal_positional, neural          , 2, 0.6585062596467158 , 0.6844245952627801, 0.6283727399165507, 0.5015669376162961
93299,filtered_normal_positional, random_forest   , 2, 0.6922054536100154 , 0.7644150251216205, 0.6082522021325916, 0.4976006267750465
93299,filtered_normal_positional, average_ensemble, 2, 0.3702195163779798 , 0.6886514076082623, 0.0               , 0.5022035060229164
93299,filtered_normal_positional, nn_0_fallback   , 2, 0.6863316755273537 , 0.7866656033176489, 0.5696801112656468, 0.47747527176574284
93299,filtered_normal_positional, nn_1_fallback   , 2, 0.6717115417595609 , 0.5805088125049844, 0.7777468706536856, 0.5981294682205465
93299,filtered_normal_positional, neural          , 3, 0.648602298062082  , 0.6579305922898132, 0.6378722227343966, 0.5037214768387034
93299,filtered_normal_positional, random_forest   , 3, 0.6890756302521008 , 0.7589164061873848, 0.6087397437079377, 0.49613162275976885
93299,filtered_normal_positional, average_ensemble, 3, 0.3556422569027611 , 0.6648232748256793, 0.0               , 0.5037704436392126
93299,filtered_normal_positional, nn_0_fallback   , 3, 0.6783570571085578 , 0.7672517432075018, 0.5761039918871578, 0.4786994417784742
93299,filtered_normal_positional, nn_1_fallback   , 3, 0.6636083004630423 , 0.560471267131522 , 0.7822439384161519, 0.6033199490745275
93299,filtered_normal_positional, neural          , 4, 0.6554207570626313 , 0.6805377720870679, 0.6264426184101191, 0.5025952404269906
93299,filtered_normal_positional, random_forest   , 4, 0.6939169203069404 , 0.7605633802816901, 0.6170252054288616, 0.4990696307903242
93299,filtered_normal_positional, average_ensemble, 4, 0.3678141209756934 , 0.6866197183098591, 0.0               , 0.5031338752325923
93299,filtered_normal_positional, nn_0_fallback   , 4, 0.6811848930423973 , 0.7796895006402048, 0.5675376234881359, 0.47625110175301144
93299,filtered_normal_positional, nn_1_fallback   , 4, 0.6700818793672568 , 0.5753040973111395, 0.7794294155664296, 0.598619136225639